negeri,BN,PH,PN,PAS,MUDA,BEBAS,DAP,GPS,GRS,KDM,jumlah
JOHOR,9,14,2,0,1,0,0,0,0,0,26
KEDAH,0,1,13,0,0,0,0,0,0,0,14
KELANTAN,0,0,0,14,0,0,0,0,0,0,14
MELAKA,0,3,3,0,0,0,0,0,0,0,6
NEGERI SEMBILAN,5,3,0,0,0,0,0,0,0,0,8
PAHANG,5,2,7,0,0,0,0,0,0,0,14
PULAU PINANG,0,10,3,0,0,0,0,0,0,0,13
PERAK,3,11,10,0,0,0,0,0,0,0,24
PERLIS,0,0,3,0,0,0,0,0,0,0,3
SELANGOR,0,16,6,0,0,0,0,0,0,0,22
TERENGGANU,0,0,0,8,0,0,0,0,0,0,8
SABAH,7,5,1,0,0,2,0,0,6,1,25
SARAWAK,0,1,1,0,0,0,5,23,0,0,31
W.P KUALA LUMPUR,1,10,0,0,0,0,0,0,0,0,11
W.P LABUAN,0,0,1,0,0,0,0,0,0,0,1
W.P PUTRAJAYA,0,0,1,0,0,0,0,0,0,0,1
